Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser Part Number
"L1","1","","","Transformer_1P_1S","","","","","",""
"R8","1","","","100/1W","","","","","",""
"C8;C15","2","","","1nF","","","","","",""
"C6;C13;C7;C14","4","","","10nF","","","","","",""
"R9;R10","2","","","1.5K","","","","","",""
"R5;R4;R13;R15;R19;R18;R20","7","","","4.7","","","","","",""
"R7;R6;R12;R11","4","","","22","","","","","","660-SG73P2ATTD220G"
"C4;C16","2","","","100pF/500V/NPO","","","","","","603-CC206JRNPOBBN101"
"L2","1","","","Transformer-FB","","","","","",""
"C12;C11;C10","3","","","220pF/500V/NPO","","","","","","81-GRM31A5C2H221JW1D"
"L3","1","","","Transformer_1P_SS","","","","","",""
"L4","1","","","FT-50-43","","","","","",""
"C25;C30;C31","3","","","100nF","","","","","","80-C0805C104J5RAUTO"
"C24;C32","2","","","1uF","","","","","","667-EEE-FT1V561AP"
"C29;C23","2","","","560uF 35V","","","","","","661-EMZS350ARA561MJA"
"R23;R24","2","","","0.02","","","","","","652-CRA2512FZ-R20ELF"
"U1","1","","","MC78L08_SO8","","","","","","511-L78L08ACD-TR"
"C35;C34","2","","","1uF","","","","","","80-C0805C104J5RAUTO"
"C28;C26;C2","3","","","10uF/35V","","","","","","GMK316AB7106KL-TR"
"D6","1","","","MBRS2545CT RN","","","","","","821-MBRS2545CTRN"
"R25","1","","","10K","","","","","",""
"T3","1","","","BSS84","","","","","","771-BSS84AKVL"
"J3;J4","2","","","Conn_01x02_Male","","","","","",""
"D5","1","","","1N4001","","","","","",""
"C27","1","","","0.1uF","","","","","",""
"L5","1","","","FB","","","","","","704-MFBM1V2012-101-R "
"R1;R22","2","","","2K","","","","","","81-PV12P202A01B00"
"R2;R21;R26","3","","","1K","","","","","",""
"C1;C22;C5","3","","","0.1uF","","","","","","0805DD104KAT2A"
"D1;D4;D2;D3","4","","","TS4148","","","","","","821-TS4148RYG "
"R3;R17","2","","","22","","","","","",""
"R16","1","","","3.9K","","","","","",""
"R14","1","","","NTC 10K","","","","","",""
"C37;C33","2","","","0.01uF","","","","","","80-C0805C103K5TAUTO"
"R27","1","","","50","","","","","",""
"U2","1","","","LMC6482","","","","","",""
"T4","1","","","BST82","","","","","","771-BST82235"
"J2;J1","2","","","Conn_Coaxial","","","","","",""
"T2;T1","2","","","Q_NMOS_DSG","","","","","",""
"H1","1","","","+24V","","","","","",""
"H2","1","","","GND","","","","","",""
